Label,Comment
ISTP,잇팁은 과묵하다기보단 귀차니즘이 심한것뿐
ISTP,ISTP 특 가사 말고 멜로디만 봄
ISTP,댓글 쓴 경험보다 중간에 취소한 적이 더 많음
ISTP,ISTP특 : 댓글읽고 있는 지금 기분 별로 안좋음
ISTP,노래 하나 꽃히면 300번정도 듣고 아예 안들음 ㄹㅇ 300번구라안치고
ISTP,잇팁인데 평소엔 과묵?? 자발적 아싸??여도 판깔아주면 ㅈㄴ 잘 놈
ISTP,잇팁 특 : k-발라드 거들떠도 안 봄
ISTP,잇팁들은 처음만난사람을 친해지기도 전에 첫인상으로 90%는 판단함 야는 거르고 야는 친해지져야지 이카면서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ISTP,"도입부 별로면 절대절대 안 듣는 istp,,,, 마음에 듭니다,,,"
ISTP,댓글들 맞춤법 편-안
ISTP,아 진짜 잇팁이라 가사 안 보는구나 ㅋㅋㅋㅋㅋㅋㅋㅋ 500번 넘게 들었지만 가사 물어보면 모름
ISTP,몇 없는 잇팁 플리에 가득한 잇팁 댓글들 반갑다.
ISTP,ㄹㅇ 친해지고 첫인상야기할때 무서웠다는 애들 많음 ㅋㅋㅋ
ISTP,"잇팁들은 똥땅거리는 노래 좋아하는데 딴데는 다 잔잔쓰한 노래여서 당황했는데
여긴 도입부부터 똥땅거리는거 넘 맘에 들어,,"
ISTP,잇팁 특 카톡 프뮤에 의미 부여하는 거 제일 이해 안 감 ㅋㅋㅋㅋ
ISTP,멜론 TOP100 전체듣기 죽어도 안 함. 특히 상위권이 발라드일 때는 더더욱
ISTP,"지하철에서 춤추지 않는 나,제법 젠틀해"
ISTP,이 노래도 그냥 누워서 까딱거리는 중 나만 그래?
ISTP,"잇팁 특징 요약

귀차니즘(음슴체,댓글 눈팅 등)
맞춤법
노래 도입부 마음에 안들면 10초도 안 듣고 넘김
노래 꽂히면 한동안 그것만 계속 들음"
ISTP,"잇팁 특 2,3년 전에 듣던 노래 어쩌다가 또 들어가지고 '뭐여 2,3년 전껀데 아직도 좋네..' 하면서 그거 100번 넘게 듣고 그만 듣다가 또 2,3년 지나면 그 노래 또 100번씩 들음ㅋㅋㅋㅋ 아니면 죄송"
ISTP,ㅋㄱㅋㅋㄱㅋ댓글들 ㅈㄴ담백하네
ISTP,이중인격ㅋ. 맞는 말. 모른 사람한텐 일절 말 안하고 벙어리 처럼 있다가 찐친이면 그때 부터 서슴없지.
ISTP,안그럴 것 같지만 잇팁 시끄러운 노래 ㅈㄴ 좋아함.. 대신 물건 깨부수는 것처럼 시끄러우면 안되고 적당히 시끄러워서 적당히 내적리듬 타기 좋은 그루비하고 트렌디한 노래여야함
ISTP,솔직히 잇팁들 크리스토퍼 배드만 오지게 들은 적 있지
ISTP,그래도 댓글은 다는데 대댓글까진 귀찮아서 공감하면 좋아요 누르는 게 최대임 ㅋㅋㅋㅋㅋ
ISTP,잇팁들 특징 발라드가 좋아봤자
ISTP,"플리가 극과 극을 오감.. 사극음악부터 비숲 오케부터 재즈, 힙합 까지 아주 다이나믹하지..뭐가 나올지 모를 거야.."
ISTP,와... 마음의 고향에 온것 같음..ㅋㅋㅋㅋ 노래 존나 신나는데 댓들은 다 담백하고. 귀차니즘인거 ㅇㅈ 카톡 인스타 등등 하는 것도 귀찮아서 고등학교 동년배들 전부 나 뒤진줄 앎.
ISTP,대부분 자발적 아싸인데 노는건 또 제일 잘 놀고 잘 나댐
ISTP,"그래 이게 바로 찐 ISTP곡이지!!!!
가사 의미따위 개나주고 멜로디만 띵똥띵똥
좌우지좡좡 신명나면됨^-^♡"
ISTP,사람들 사이에서 유행하는 노래나 춤이나 이런 거 있을 때 절대 안 듣다가 뒷북 오지게 침
ISTP,잇팁이랑 친한 엔팁인데 잇팁 ㄹㅇ 이중인격임 공식적인 자리에서는 엄청 교과서처럼 말하고 (실제로 교과서처럼 생각안함ㅋㅌㅋㅋㅋㅋ) 안친한 사람한테 엄청 착하고 상냥하게 대함. 사실 편한 사람들이랑 있을 때는 그냥 또라이임. 엔팁으로써 잇팁들이랑 노는거 재밌음ㅌㅋㅌㅋㅋㅋㅋ
ISTP,잇팁 플리에는 댓글로 이상하고 재미없는 갬성소설(심지어 쓰는 단어들도 다 비슷비슷함) 쓰는 사람들 없어서 좋다 넘 쾌적
ISTP,솔까 잇팁이 좋아할 정도 노래면 누구나 좋아할 노래들임
ISTP,"플리 만드신 분... 잇팁이라면 존경합니다...
모든게 귀찮은 잇팁...
가끔씩 먹을 때 씹기 귀찮아서 입맛 떨어지는 경우도 많음"
ISTP,"잇팁들은 카톡을 안보는게 아니다 미리보기
존나 잘 사용함 미리보기로 본 다음에 그냥 넘김 ""아 그렇구나"" 하고 답장 안함 보낸 당사자들은 빡치겠지"
