Unnamed: 0,text,mbti
10222,뭘 얼마나 잘못하셨던 건지 상황은 모르지만..[SEP] 특별히 모멸감을 느끼거나까지는 아니고 그리고 그때도 만나는 사람 없고 혼자라면 가능할지도요 하지만 누군가를 만나고 있다면 절대 철벽이요 전 여자이지만 남자 에프 제도 비슷할 거 같아요 [SEP],enfj
8518,뭔가 [SEP] 되게 자기만의 철학이 있고 이성적이기도 하고 해서 친해지고 싶다는 생각은 계속하지만 쉽사리 막 엄청 그들의 자유로운 가치관과 농담 등을 이해하긴 어렵더라고요 [SEP]여러분들은 어떻게 생각하세요 ?![SEP],enfj
9926,일단 대화 먼저..?[SEP] 말만 트면 친해지는 건 알아서 할걸요 그쪽에서 [SEP],enfj
20122,그 순간 저한텐 그게 부끄러워하는 모습으로 비쳤는데 엔 팁이 왜 그랬는지 아실 것 같은 분 계시나요?[SEP]전 여자입니다![SEP]의 견 많이 내주세요[SEP],enfj
10403,전 구냥 다 궁금하고 그래서 상대랑 친해지고 싶은 과정에서 물어봐요 [SEP]재밌어서[SEP],enfj
21325,아참.[SEP]츤데레 기질이 있어요 :) 속은 상냥하고 받은 감사는 잊지 않고 돌려줘요.[SEP] 사랑해요 intp.[SEP],enfj
8808,아니면 곯아터져요 [SEP] 좋아요는 힘이 됩니다[SEP] 감사합니다[SEP],enfj
10327,"남자 에프 제도 댕댕이 같을지, 인사 느낌이고 표정도 다양하고 뭔가..[SEP] 감정 표현도 수려하게 말로 다 하는지.[SEP] 궁금 시[SEP]",enfj
15086,에프 제도 힘들어요 사람이 대화할 때 어느 정도 리액션은 예의인 거 같아요 ㅠㅠ[SEP],enfj
11906,"그 진지함 때문에, 사람들과 더 가까워지지 못해.[SEP] 많이 아쉬웠거든요;;[SEP] 정말 걱정입니다.ㅎㅎ[SEP]",enfj
26214,칭찬 좋아하던데[SEP]아닌가요..?[SEP],enfj
8507,"피해라, 버려라, 보지 마라, 도망쳐라, 떠나라...[SEP] 많이 강조 드렸습니다[SEP] 좋아요는 글을 쓰는데 힘이 됩니다[SEP]",enfj
10580,"왜냐하면, 주인공은 나라는 사람이고 인생은 단 한 번이기 때문에. -[SEP] 관계를 소중히 여기는 나 마음이 여려 눈물이 많은 나 하루하루 최선을 다하려 하는 나 열심히 살아온 부지런한 나 무엇이든지 책임감 가지고 살아온 나 미안하고 고마워[SEP] 사랑해.[SEP]",enfj
13409,estp썸남이 있어요 [SEP] 너무 괴로워요 [SEP]저 말고 여자가 많은데 굳이 잘해주고 챙겨주고 그러면서 여자들 만나는 그러면서 연락 재촉하고 희망고문하는 그런 심리는 뭐죠?[SEP],enfj
19116,저요!!![SEP]제가 불도저처럼 달려들어서 지금 7년째 연애 중이에요 ㅎㅎ[SEP],enfj
8368,"그런데요...[SEP]저 말 한마디가 전 너무 아팠어요.[SEP]제 진심이 찢어지고, 무너지고, 짓밟혀버리는 느낌ㅠㅠㅠ 여러분들 의견 좀 부탁드립니다:) 그리고 댓글 주시는 분들 미리 고맙고, 감사드려요![SEP]",enfj
9263,미안해서 그런 걸 거에 용[SEP]이랬던 저랬던 일방적으로 깠다면 님에게 상처 줬으니[SEP],enfj
9824,저는 정이 확 떨어질 때는 1. 시간 약속 안 지키고 미안해하지 않을 때 2. 주는 선물이나 호의를 당연하게 여길 때 > 수제로 만든 쿠키 줬는데 그냥 고맙다는 말없이 확 가져가버리고 그거에 대한 아무 언급도 없을 때 당장 생각나는 건 이정도네요ㅎㅎ ..[SEP] 아무리 친한 친구여도 이렇게 선 넘으면 참을 인 한두 개 정도는 소비하는 것 같습니다[SEP],enfj
8440,술 마실 때마다 연락 오고 애교 부린다는 것부터 별로인 것 같네요..[SEP] 그냥 적당히 거리 두시는 거 추천드리고 싶어요 [SEP],enfj
10091,후회만 남네요 [SEP] 친구는 저에 대해 어떻게 생각할지 모르지만..[SEP]저는 그냥 행복하게 잘 살길 바라려고요.[SEP],enfj
3172,"말도 많이 걸면 부담스러울 것 같아서 일적인 것만 딱 필요한 내용만 보내고 더는 하지는 않았는데,, intj 남자 좀 친해져 보고 싶은데 좀 더 적극적으로 다가갈지 시간을 두고 조금 나에 대해서 알릴지[SEP] 고민입니다![SEP] intj 남자분들 도와줘요~~![SEP]",enfj
8442,제가 생각하기에 친한 사람과 안 친한 사람 달라서 그런 거 아닐까요?[SEP]친할 때 근자감이 많아 보이는데 안 친할 때는 소심해 보인다던가 반대라던가?[SEP],enfj
11910,음..[SEP]저도요;; 전 신비로움?[SEP],enfj
13767,"본인들은 시크하지만 정작 제가 볼 땐 그게 더 안타까워요.[SEP]뭐 암튼 오지랖일 수도 있지만ㅋ 그래서 전 제 삶을 잘 살고 있고 이 팁은 istp대로 저렇게 내버려 두면서 조금씩 인생의 가장 친한 친구로 스며들려고 해요. ""이 팁아 내 마음은 항상 똑같아. 처음 본 날부터""라고 말해줬더니 넌 너무 착해 귀여워.[SEP]라고 말하는 공감결여자...............ㅠㅠ[SEP]",enfj
7873,나 때론 이유 없이 너를 괴롭게 해 늘 확인하려 했지만 어떻게 해도 변함없는 너의 얼굴 지쳐 외면하고도 싶었어[SEP] 더 이상 나 참을 수 없기에 끊는 전화라도 걸어보고 싶지만 달라진 것 없는 나라면 해서는 안 돼[SEP]내가 잘못한 거니 너무 사랑한 거니 미안해 네가 나의 마음 알겠니 미워하지 마 이해해 줘 이제 나의 사랑 알겠니 미워하지 마 기억해[SEP],enfj
16706,"15. 뭐 결국 이런 상황을 설명하다 보니 내가 얼마나 어떻게 좋아하고 있었는지 고백을 해버린 거죠 쓰다 보니 현타오네,,ㅋㅋ 여기 적지 못한 상황들도 있는데 쨌든 현재 썸을 타고 있고 추가적으로 궁금한 건 isfp들이 정말 싫어하는 행동이 있을까요?[SEP] 썸 타거나 연애하면서 절대 하지 말아야 할 행동이요![SEP] 그리고 앞에서 말했듯이 제가 너무 일방적으로 좋다고 하면 isfp들은 혹시 금방 질려 할까요?[SEP]",enfj
7711,나도 모르게 결정적인 순간까지 혼자 생각하고 또 생각하고 결국 자기합리화하고 결국은 본인 생각만 하던 이기적인 게 많던 제 전 남자친구 isfj..[SEP]이 떠오 르네요 [SEP],enfj
29524,유사성>>>>>상보성이요ㅋㅋ 어렸을 때부터 내면이 비슷한 사람에게 많이 끌렸던 것 같아요^[SEP] o^[SEP],enfj
25219,단순히 맞고 안 맞고를 떠나면 네 많이 안 맞아 보이긴 해요 ㅋㅋ...[SEP] 근데 뭔가 ST 유형을 옆에 두면 저를 보완해 주는 느낌?[SEP],enfj
30456,ㅎㅎ 수명을 마음대로 정하면 좋겠지만 수명이 최대 150년이라고 알고 있어요 [SEP],enfj
27862,옛날에 여기 가입할 땐 enfj라고 나왔는데 오늘 해보니까 enfp가 나오네요 [SEP]좋아진 거예요 나빠진 거예요???[SEP] 너무 궁금..[SEP],enfj
2751,뭐 그런 식이었는데..[SEP] 저만큼 최악의 과몰입 남관 헤어지신 분 계시나요..?[SEP] 솔직히 약간 민망해서 친구들한테도 말을 못 했네요.[SEP],enfj
16179,평소에 너무나 밝고 긍정적인데 문뜩문뜩 취업 준비 공부 때문에 스트레스 하면서 급 우울해지곤 하는데 제가 위로가 될만한 게 있을까요?ㅠㅠㅠ[SEP]큰 힘이 되고 싶어요!![SEP],enfj
1662,거절당한 건지 모르나요..?[SEP] 직접적으로 거절의 사 밝혔는데도 계속 연락 오니 이제 이유가 궁금해지네요...[SEP]어떻게 생각하세요..?[SEP],enfj
13728,"istp 만나시는 분들께 도움이 될는지는 모르겠어요.[SEP]한 가지 확실한 건 istp 마음은 성벽 같아서 허물어야 하는 게 있어, 도전적인 마인드가 필요할 것 같아요.[SEP]아님 망상이나 생각 많은 타입은 진짜 힘들 스타일...[SEP]",enfj
9689,음 저는 별 관심 없는 사람이 막 진상이라면 그러든 말든 신경 쓰지 않아요 [SEP] 그런데 좀 챙겨주고픈 동기나 후배라면 듣기 싫은 소리라도 (최대한 부드럽게) 총대 메고 말해줍니다[SEP],enfj
8535,요즘 부쩍 들어 ixtx 들과 잘 놀게 되는데 유독 이 팁이 재밌고 잘 맞아요ㅋㅋ[SEP]다른 엘프제 분들도 그런가요?[SEP],enfj
9642,개인적으로 주면 엄청 설렐 거 같아요![SEP] 대신 선물 메시지에 글 조금 귀엽게?[SEP],enfj
6550,"그리고 그가 진정이 되었을 때 상냥히 그 이야기를 꺼낼 수도 있다([SEP] 바람에 몸을 맡길 줄 아는 갈대,,, 대화법에선 이 방법이 지혜롭다고 배웠다,,, 많이 노력 중이다^^)[SEP] 물론 n을 가지고 안 가지고 세밀히 들어가서는 잘 모르겠고 여하튼 재미있는 발견이라 같이 나누어본다 ㅎ[SEP]",enfj
10012,엘프제 특성상 좋아하는 이성을 우상화하는 경향이 있어요 [SEP]저도 마찬가지고 사주도 믿고 종교는 없지만 신의 존재는 믿습니다.[SEP],enfj
19443,싫어하는 사람 유형이요!![SEP],enfj
30186,태풍 영향이 바람만 오는 듯 -_- 정말 추워요 ㅋㅋㅋ[SEP],enfj
11854,"그래서 카페 들어와서 enfj나 infj분들 글 보고, 카페 전체적으로 둘러보면 위안을 받는 느낌이랄까...[SEP]우리나라에서는 유난히 적은 유형이 enfj라는데...[SEP] enfj 유형 분들 많으신지 살짝 궁금하네요 ㅋㅋ[SEP]",enfj
2206,mbti 하면 항상 isfj로 나오는데 설명 보면 저랑 비슷한 부분이 많이 없다고 느꼈는데...[SEP] 에니어그램 8번에 날개 9번이네요 [SEP]짧은 제 소견으로는 에니어그램이 저의 내면을 깊숙이 들여다본 느낌이에요 [SEP],enfj
2927,"저는 남사친이 많았는데 남자친구 때문에 거의 연락을 끊었어요,, 이유는 남자친구가 연락하는 걸 매우 싫어하기 때문이에요[SEP]저는 이성친구도 인맥이라 생각하지만 남자친구는 그렇지 않더라고요 ㅜ[SEP] 혹시 다른 에프 제분들도 이성친구에 대해 부정적 생각을 갖고 계신지 궁금해서 여쭤봅니다![SEP]",enfj
9103,"궁합도 여러 가지가 있잖아요 [SEP] 친구로 좋은 유형, 애인으로 좋은 유형, 동료로 좋은 유형 등![SEP] 엔츠제 여자에게 연인으로 찰떡궁합인 남자는 어떤 MBTI일까요? ㅎㅎ[SEP]",enfj
3039,엥 잠깐 시간을 갖자고 한 거지 헤어진 건 아니지 않습니까?[SEP],enfj
9067,웅![SEP]이러네요(초 귀엽)[SEP] 고백해 버릴까요 [SEP],enfj
7893,3번도 ㅋㅋ 이해가 갑니다 ㅠㅠ[SEP]아이고 힝 내 동생 ㅠㅠㅠ[SEP],enfj
26524,연애 스타일이 궁금해요 ??[SEP],enfj
10577,먼저 연락해 본 적 없는 것 같아요 상대방이 싫어하면 어쩌지 해서[SEP],enfj
11745,적당히!![SEP] 절제하며!! 영[SEP],enfj
29519,저는 나 홀로 여행을 떠나요ㅎ[SEP] 평소에 가보고 싶다 생각했던 곳..[SEP],enfj
17607,혹시 enfj 남자와 연애하면서 좀 답답했거나 이런 건 하지 않았으면 했다[SEP]이런 사항들 있을까요?[SEP] MBTI가 모든 걸 대변하진 않지만 ^^;; 미리 알아두고 조심하면 좋을듯하여 질문드립니다.[SEP],enfj
9569,"인데요 ㅋㅋ[SEP]그동안 괜찮다 했던 사람은 2명 정도였는데, 알아가면 알아갈수록 별로라는 마음이 들어서 결국 계속해서 자신과의 연애 중입니다..[SEP]어쩔 땐 무성애자 인가 깊기도 하고 얼마 전 금쪽 상담소에 나온 예은(핫펠트) 님이 진단받은 '회전문 연애' 가 저한테도 해당되는 거 같고,, 연애는 하고 싶은데 피곤해지는 게 싫은 게 가장 크네요 [SEP]",enfj
10130,저는 제가 마음이 없으면 처음부터 시작하기는 어렵더라고요 ..[SEP],enfj
8775,엔 포제라서 그런지 뿌듯하네요 ㅎ[SEP],enfj
8431,전 많이 낮아서 오히려 주변에서 도와줬어요ㅋㅋ[SEP]가족들부터 자존감을 하락시켰어서 ㅠㅠ 그러다 꾸미고 다니니까 갑자기 주변 시선을 많이 받고 어디 가든 주목을 받고 주변 사람들이 괜히 좋아해 주고 그래서 그런지..[SEP],enfj
9025,제기 중 의외로 제멋대로 의외로 영악 의외로 뒷담 잘 함[SEP]의 외로 계산적 의외로 안 좋아하는 사람한테는 착하게 안 함[SEP],enfj
1611,"겉으로 보이는 상대방의 태도가 아니라, 이기적인 욕구들이 그럴싸한 합리화 과정을 거쳐 친절함으로 포장되어 나오느냐 아니냐 하겠지요.[SEP] 하기야...[SEP] 대인 관계에서 진정성을 누구보다 중시하는 사람들에게만 필요한 부분일 수도 있겠네요 ^^;[SEP]",enfj
5320,남편이 enfj 저는 entp인데 정말 너무 안 맞네요 ㅎ[SEP] 남편은 꼼꼼 ㅎㅎ 계획 차질 생기는 거 싫고 저는 제멋대로라 ㅎㅎ;;; entp 매칭대로 결혼했으면 잘 맞았을까? 싶어요 ㅎㅎ[SEP],enfj
12098,istp이여서 매력보다 덱스 자체가 매력 있긴 한 거 같아요 ㅋㅋ[SEP]그리고 이 팁은 친해져야 매력을 보여주기 때문에 연예인 직업은 우리가 볼 수 있지만 실제로는 친해지지 않는 이상 보기 힘들 듯 ㅠㅠ[SEP],enfj
9110,흠 선물도 안 되고 영상 같은 것도 다 찾아보셨다니 어렵네요ㅠㅠ [SEP] 손목 통증에 양파가 좋대요~[SEP],enfj
27464,다가가는 효과적인 방법이 없을까요?[SEP] 맘고생 엄청 했어요 ㅜㅜ[SEP] 이제 사랑하고 싶어요 [SEP],enfj
9899,"국외?[SEP] enfp : 아하하하항헣항 enfj는 단순히 예쁘다, 잘생겼다고 하지 않아요 ㅋ[SEP] 애정표현도 개오 글 거리게 함 ""너 만나고 오면 이틀 정도는 너 생각 너무 나서 힘들어""라고 하면 너무 오글거려 한대 치고 싶다는데 ㅋㅋ[SEP]",enfj
10638,"엄마 infj 아빠 istj 언니 isfj(결혼해서 집에 없음, 형부 enfp) 나 enfj 동생 istj istj 둘한테 들들 볶인 엄마는 enfj인 나에게 아빠 동생 얘기하면서 어떻게 생각하냐[SEP] 맨날 묻습니다 ㅋㅋ[SEP]",enfj
641,닮아가나요?[SEP]전 아무리 시간이 흐르고 흘러도 잇디 제화 되지 않는 것 같은데..[SEP]뭐지 ㅋㅋ[SEP],enfj
22972,우리도 이런 시험이 나오셨소 ?? ㅎㅎ[SEP],enfj
9401,저랑 같으신데요?[SEP] 근데 개인주의적이라는 말은 별로 못 들어 본 것 같아요.[SEP],enfj
9209,전 이 팁이 돼보고 싶어요 [SEP] 하~~도 감정 기복이 심한 사람이라 무감각해져보고싶어요[SEP]istp특유의 쿨한 눈빛과 독립적인 모습이 너무 멋져 있달까...[SEP],enfj
7914,그런데 혼자 있는 시간이 많고 혼자서 잘 놀고 혼자라도 밖에서 잘 놀아요.[SEP]저는 에프 피일까요 [SEP]?인 프리일까요?[SEP],enfj
10845,내가 생각하는 것보다 더 친하게 다가오는 것 같아서[SEP],enfj
11038,Fe 땜에 그럴 수도요 [SEP],enfj
8833,"그래서인지 성숙한 enfj는 자기다움은 분명히 있으면서, 자신의 감정과 직관에 충분히 책임을 지려고 하는 사람이지 않을까 싶습니다.[SEP]짧게 쓰려고 했었는데 쓰다 보니 글이 좀 길어졌습니다.[SEP]긴 글 읽어주신 분들께 감사를 드리며 글을 마칩니다.[SEP]",enfj
9309,감정에 솔직한 편이라 거짓말을 자주 하진 않는데 밉보일 수 있는 주제나 귀찮을 때 거짓말 많이 해용 ㅋㅋㅋ[SEP],enfj
10005,"전 남자친구가 estp이었고 비슷한 이유로 헤어졌습니다.[SEP] 바로 차단하지는 않습니다만, 정말 사랑했다면 혼자서 힘들어하고 있을 확률이 큽니다. 에 팁은 뒤돌아서면 잊겠지만 에프제는 두고두고 에 팁이 했던 말, 표정, 어조, 목소리, 공기의 흐름과 분위기까지가 선명하게 기억되거든요.[SEP]",enfj
5733,청산유수 맺고 끊음[SEP] 확실 제가 그분한테 칭찬해 드렸는데 흐뭇하게 좋아하시면서 유형 특색은 아니고 그냥 내가 그런 거지~라고 하시네요 ㅎㅎ[SEP],enfj
9756,제가 지금 그런 상태라 너무 힘든데.[SEP] 그냥 에프제가 하는 얘기를 공감해 주며 잘 들어주면 그거로도 에프제는 마음속으로 고마워할 거예요[SEP],enfj
2704,정신 차려보니까 누그러진 저를 발견했습니다[SEP]이런 식으로 서로 보완해 주는 게 있더라고요.[SEP] 결론은 enfj분들 개인적으로 많이 좋아합니다[SEP],enfj
2309,저도 intj 분과 만나고 있는데 처음에 <혼자 있는 시간>필요하다는 게 이해가 힘들었어요.[SEP]한 공간에 각자 다른 일을 하고 있어도 신경이 쓰인다고 하더라고요..[SEP],enfj
5000,"전 엔 팁인데 약간 쾌락주의랑 재미 추구가 심해서 고민이랄까,,, 진득한 걸 잘 못 참고 뭐든 삶에서 재미와 자극을 추구하는 것 같아요ㅠ_ㅠ[SEP]어릴때의 결함으로 인한 건지 고민이 많네요.[SEP]",enfj
9138,"저는 미래가 불확실하다면, 포기하고 정리할 것 같아요ㅠ[SEP]",enfj
8390,에프제는 색안경을 끼지 않고 일단 그 상대를 많이 믿으려고 노력해요.[SEP] 근데 몇 번 계속 믿어줬는데도 불구하고 안 고쳐지고 신뢰가 안 가는 게 점점 명확해질수록 에프제는 엄청 냉정해집니다..[SEP],enfj
17308,지금밖에 할 수 없는 일이잖아요 [SEP] 미래에 좋은 기억이 되도록 열심히 해보자고요 ㅎ[SEP],enfj
26697,저도 미움받으면 버려진 느낌이라 안 좋아해요..[SEP],enfj
7930,여자분 중에 술 마시는 걸 좋아한다거나 라운지 바 다니는 거 좋아하시는 분 계시나요 있으시면 같이 주말에 놀러 가요 ㅎㅎ !엠비티아이얘기도하구 !!![SEP],enfj
23077,인티 피라고 상처 안 받으라는 법 있나요 ㅎ[SEP]infp라고 무조건 포근하란 법 있나요 ㅎ[SEP],enfj
275,너무 궁금해요 [SEP] 정말[SEP],enfj
10686,마음이 따르는 옳은 길을 간다는 말이 무척 공감됩니다:) 내 양심이 떳떳한 게 이득을 얻는 것보다 훨훨씬 중요![SEP],enfj
9178,엘프제 표현해 주는 거 좋아해요!!!![SEP],enfj
9289,"마치며 우리를 응원하는 시 하나 첨부할게요 ![SEP] 추적자 아해야, 기구한 운명을 짊어진 아이야 [SEP]네가 마주한 굴레에 잠겨 슬퍼 말거라 세상은 항상 산위에 얹힌 구름처럼 절망과 희망의 중심에 있는 저울이니 네가 비록 운명에 맞서 고뇌할지라도 다시 일어서 희망의 눈물을 흘릴지니 너의 사랑을 널리 알려서 하나 되게 끔 온 세상이 너의 노래를 부르도록 하여 어느 하나 고통받는 이 없도록 이끌길 별종인 네가 쫓는 길이 다름을 깨닫길[SEP]",enfj
1229,"리액션도 매우 좋고, 가끔 장난이나 과한(?) 농담도 하는데...[SEP]제가 생각했던 istj 님들과는 다른데...[SEP]이건 상사기 때문에 그런 거겠죠? ㅎ[SEP]",enfj
25707,쓸데없이 걱정하면서 정신력 체력 소비하기 1등 .[SEP],enfj
6378,제 곧 내 알려주세요![SEP],enfj
11008,적극적이고 리액션 좋은 사람이 좋아요ㅋㅋ[SEP],enfj
9027,헉 안일 씹은 거리 두고 싶은 거예요 [SEP]친하고 가깝고 편하면 톡 답장 웬만하면 빨리하려 하거든요ㅠ[SEP],enfj
10763,저만 이러나요...[SEP] enfj만 이러나요...[SEP]다른 유형 중에 이런 맘 느끼시는 분~_~[SEP],enfj
