Unnamed: 0,text,mbti
10222,뭘 얼마나 잘못 상황 모멸 감 그때 사람 혼자 라면 지도 누군가 절대 철벽 전 여자 남자 에프 제도 거,enfj
8518,뭔가 자기 철학 성적 생각 계속 쉽사리 막 가치관 농담 등 이해 여러분 생각,enfj
9926,일단 대화 먼저 말 트 건 걸 쪽,enfj
20122,순간 한텐 그게 모습 팁 왜 분 전 여자 의 견,enfj
10403,전 구 상대 과정,enfj
21325,츤데레 기질 속 감사 사랑,enfj
8808,힘,enfj
10327,남자 에프 제도 댕댕 인사 느낌 표정 뭔가 감정 표현 수려 말로 궁금 시,enfj
15086,에프 제도 사람 대화 때 정도 리액션 예의 거,enfj
11906,때문 사람 더 정말 걱정,enfj
26214,칭찬,enfj
8507,피해 보지 강조 글 힘,enfj
10580,주인공 나라 사람 인생 단 번 이기 때문 관계 나 마음 눈물 나 하루하루 최선 나 나 무엇 책임감 가지 나 사랑,enfj
13409,썸남 여자 굳이 여자 연락 재촉 희망고문 심리 뭐,enfj
19116,제 불도저 지금 연애 중이,enfj
8368,말 한마디 전 제 진심 느낌 여러분 의견 좀 댓글 주시 미리 감사,enfj
9263,걸 거 용 일방 님 상처,enfj
9824,정이 확 때 시간 약속 안 때 선물 호의 때 수제 쿠키 그냥 말 확 그거 대한 아무 언급 때 당장 건 정도 친구여 선 인 개 정도 소비,enfj
8440,술 때 연락 애교 부린다 별로 그냥 거리 두시 거 추천,enfj
10091,후회 친구 대해 생각 그냥 살길,enfj
3172,말 적 내용 더 남자 좀 보고 좀 더 적극 시간 조금 나 대해 고민 남자,enfj
8442,제 생각 사람과 안 사람 달라 거 요 때 자감 안 때 반대,enfj
11910,음 도 전 신비 로움,enfj
13767,본인 시크 정작 제 볼 땐 그게 더 뭐 오지랖 일 수도 전 제 삶 살 팁 대로 면서 인생 가장 친구 해 팁 내 마음 항상 처음 날 말 넌 말 공감 결여,enfj
7873,나 때론 이유 너 해 늘 확인 해도 너 얼굴 외면 더 이상 나 수 전화 보고 나라 안 내 잘못 사랑 네 나 마음 마 이해해 이제 나 사랑 마 기억,enfj
16706,뭐 상황 설명 내 얼마나 고백 해 거 타오 여기 적지 못 상황 현재 썸 타고 추가 건 정말 행동 썸 연애 절대 행동 앞 말 제 일방 혹시 금방 요,enfj
7711,결정 순간 혼자 생각 또 생각 자기 합리화 은 본인 생각 기적 게 제 전 남자친구 르네,enfj
29524,유사성 상보성 때 내면 사람,enfj
25219,안 네 안 해 뭔가 유형 옆 보완 느낌,enfj
30456,수명 마음대로 정 수명 최대 알,enfj
