Comment,FilePrefix
횡단보도 때 차 날 너 무 즐거움 심지어 차 쌍 라이트 피키츄 눈 조음,ENFP
엔프피 상상 사람 하루 종일 상상 밥 상상 수업 졸리 상상 시간 상상 상상 관종,ENFP
인 친구 때 말 네 인 친구 때 말 제발 좀 해,ENFP
약속 시간 자주 이유 엔프피 약속 이유 아해 거 예 사실 엔프피 사람 걸 약속 몇 주일 전 약속 시간 잡고 그때 집 계속 전 자꾸 거 나 오해,ENFP
사람 별로 사탕 완전 사람,ENFP
내 왜 인지 계속 의심 함 남 나 보고 난 나 부분 느낌,ENFP
다른 엠비티아이 플리 흑백 엔프피 알록달록 뚱이 궁딩 박수 영상,ENFP
앞 진짜 뒤 무 뚝뚝 자체 꼭 뒤 텐션 개 인기,ENFP
특 화가 개 다음 계속 감정 상대방 섭 대하 막상 시간 뒤 흫헿레 유튜브 보고 기분 화 못,ENFP
엔프피 인프피 구분 법 생각 좀 향 나 인프피 난,ENFP
특징 상처 진짜 남 소리 말 진짜 금사 매번 늘 진심 눈치 개 늘 눈치 척 함 거절 내 상대 도 인스타 한번 얘 애 구나 생각 함 단순 엔프피 손절 얘 성격 문제 거 인간관계 늘 고민 생각 진짜 친구 완전 외향 집 누구 독립 혼자 친구 나 사람 걸 친화력 고민 겉 늘 보임 본인 말 사람 기 빨림 장난 세상 긍정 봄 일어나지 일 걱정 성격 아무 직접 함 감정 기복 완전 활동 걸 번 질리 안 함 사람 더 이상 뭘 해도 정이 감동 눈물 인 중 중 인 마음 늘 다짐 막상 상황 닥치 몸 충 적 행동 함 남 담 남 담 거 못 사람 데 누군가 못 믿음 기류 못 남 눈치 봄 정이 누군가 상대 누구 상처 말 절대 못 함 칭찬 사진 추억 거 장소 거 노력 파,ENFP
를 생각 마음 나 고마움 인 프제 벽 고마움 꾸밈 모습 고마움 재미 인 프제 친구 고마움 에너지 긍정 영향 고마움 방 인 프제 밖 고마움 해 맑은 모습 고마움 사람 살 맛 날 수 걸 고마움,ENFP
나 사실 낯 친구 개 소리,ENFP
진짜 사람 판단 좀 뭐 얘 애 좀 나,ENFP
엔프피 특징 정이 정신 상처 속마음 안 다른 분도,ENFP
진짜 인연 계곡 초등학생 아가 살 차이나 논 만난 고작 시간 정 정 줌 얘 우리 나중 다시,ENFP
겉 티 속 손절각 엔프피 손절 사람 진짜 인간성 임 인성 문제,ENFP
평소 나 내 쟤 진짜 별로 생각 애도 인스타 만 갑자기 뭔가 애인 걸 생각 함 진짜 단순 끝판,ENFP
나 엔프피 특징 착각 함 선 보통 화해 순간 바로 손절 다른사람 친구 나 한텐 사람 친구 그냥 좀 사람 임 망상 병 진짜 개심 내 티엠 아이 남 오지 말 반응 섭섭 한번 무조건 함 선택 낯가림 말 은근 노래 대사 생각 진짜 고민 멍 불가능 생각 속,ENFP
특징 수업 시간 계속 멍 앞 애 앞 노래 상상 함 애 말 거 거 이후 무슨 말 머릿속 혼동 옴 사람 생기 자기 얘기 완전 직진 사람 고백 땐 분명 차이 거지 고백 긴장 함 정이 완전 크게 시간 혼자 다시 연락 함 분위기 거 개 애 드립 으쓱 더 농담 침 누군가 혼자 걸,ENFP
엔프피 사실 낯 척 거임 자기 전 오늘 일 생각 그때 걸 때 말 걸 생각 함,ENFP
말 사람 말 사람 말 성적 사람 말 대화 끼 사람 말 전문,ENFP
항상 모든 친구 인사 애 볼 때 너 진짜 친구 내 진짜 수가 내 속 마음 진짜 친구 그냥 두루 두루 느낌 임 연락 안해 일수 친구 파기 친구 말 무리 난 누구 제일 말 수 애도,ENFP
학창시절 정해진 답 게 제일 고역 뭔가 모두 걸 의미 그냥 앞뒤 달려듬 뭘 꿈 고민 누가,ENFP
사람 친구 별로 마음 속 장벽 모든 걸 친구 별로 느낌,ENFP
엔프피 모든 인연 아쉬움 교생 쌤 일일 교육 해주시 강사 다른 지역 잠깐 인연 지금 인사 인연 어가 사람 정말 내 테두리 안 슬픔 버스정류장 사람 구경 구경 사람 생각 저런 표정 사람 어디 인생 부 찍 별 상상 함 완전 운명 사랑 생각 삼 겨울 밤 이탈리아 거리 사람 중 눈 마주 운명 사랑 인생 살 함 엔프피 상상 살 이유 말 안 땐 상상,ENFP
댓글 엔프피 나 사람 글 공감 노래 분위기 뭔가 감동,ENFP
움,ENFP
상대방 나 대하 나 하루 종일 나 론,ENFP
반응 때 회심 드립 때 드립 갑 때,ENFP
친구 특징 행복 바이러스 자체 진짜 일 엔프피 난 엔프피 행복 주지 거 또 엔프피 행복 주기 엔프피 누구 행복 걱정 기도 해 거 진짜 거 거 엔프피 여러분 미소 세상 제일 배려 진짜 전 엔프피 친구 계속 엔프피 친구 만날 때 그때 사과 제 자가 별로 큰일 술 이야기 일 얘기 엔프피 오히려 나 진정 엔프피들 스윗 말 아기 병아리 가끔 인 친구 엔프피 계속 말 기 제발 쉿 프제 오히려 더 말 엔프피 말 낯가림 프제 말 공감 완전 진짜 고민 말 자기 일 걱정 진짜 뭐 내 이야기 엔프피 이야기 프제 제일 남 고민 엔프피 여러분 고민 프제 말 말 말 내 자존감 지킴 제 자존감 항상 내 장점 말 친구 또 칭찬 칭찬 서로 막 칭찬 말 너 말 해 엔프피 음음 일단 거 제 외국어 전공 엔프피 친구 외국어 자기 공부 외국어 문장 모습 너 땜 이상형 엔프피 친구 우리 엠비티아이 파국 조합 너 달이 보라색 도배 거 너 이야기 꼭 너 내 엔프피 여러분 프제 전 엔프피 여러분 머리 꽃밭,ENFP
엔프피 분 정말 사람 해피 매력 일만,ENFP
인간관계 사람 엔프피 내 혼자 게 더 때 오히려 사람 곳 에너지 편,ENFP
사람 친 먹기 가능 나 친구 끼리 아주 핫 시간,ENFP
말 특징 개인 외출 날 집 때 우울 배달 음식 밥 동안 노 우울 모드 혼자 때 노래 틀 춤 국룰 춤 척 춤 정신 인 막상 주변 사람 연락 속 가끔 혼자 망상 하이 틴 주인공 생각 등등 내일 꼭 뭐 머릿속 계획 다음 날 담 뭐 마인드 칭찬 막상 칭찬 속 기분 난리 겉 시크 척 필수 남 눈치 봄 눈데 나 소 인 사이 경향 사이 인 싸이 돈 막 돈 곧,ENFP
대가리 꽃밭 소리 기분 생각 걱정 상상력 짐 노래 머릿 속 드라마 편 손절 얘 진짜 다시 나 조금 금방 풀림 화 풀기,ENFP
선택 낯 가림 거절 은근 여러분 곳 관심 겉보기 때 은근 눈치 의미 부여 사람 상상 망상 진짜 가끔 삘꽂힐 때 일기 한번 친구 땐 텐션 땐 막 오름 사람 티엠 아이 눈물 나,ENFP
를 네 단어 표현 표현 긍정 적임,ENFP
엔프피 진짜 금 사빠 번 땐 진심 금 사빠 금사 내,ENFP
